Industry,Employed by this Industry,Code,Occupation,Projected Growth (2022-2032),Projected Job Openings (2022-2032),Technology Skills,Tasks,Detailed Work Activities,Job Zone
Health Care and Social Assistance,51%,29-1029.00,"Dentists, All Other Specialists",Average,200,,,,Unknown
Health Care and Social Assistance,50%,21-1094.00,Community Health Workers,Much faster than average,"8,000","Data base user interface and query software, Desktop publishing software, Electronic mail software, Graphics or photo imaging software, Internet browser software, Medical software, Office suite software, Operating system software, Presentation software, Spreadsheet software, Video conferencing software, Word processing software","Maintain updated client records with plans, notes, appropriate forms, or related information.Related occupations, Advise clients or community groups on issues related to improving general health, such as diet or exercise.Related occupations, Identify or contact members of high-risk or otherwise targeted groups, such as members of minority populations, low-income populations, or pregnant women.Related occupations, Contact clients in person, by phone, or in writing to ensure they have completed required or recommended actions.Related occupations, Distribute flyers, brochures, or other informational or educational documents to inform members of a targeted community.Related occupations, Refer community members to needed health services.Related occupations, Attend community meetings or health fairs to understand community issues or build relationships with community members.Related occupations, Perform basic diagnostic procedures, such as blood pressure screening, breast cancer screening, or communicable disease screening.Related occupations, Advise clients or community groups on issues related to diagnostic screenings, such as breast cancer screening, pap smears, glaucoma tests, or diabetes screenings.Related occupations, Advise clients or community groups on issues related to risk or prevention of conditions, such as lead poisoning, human immunodeficiency virus (HIV), prenatal substance abuse, or domestic violence.Related occupations, Administer immunizations or other basic preventive treatments.Related occupations, Identify the particular health care needs of individuals in a community or target area.Related occupations, Advise clients or community groups on issues related to self-care, such as diabetes management.Related occupations, Conduct home visits for pregnant women, newborn infants, or other high-risk individuals to monitor their progress or assess their needs.Related occupations, Transport or accompany clients to scheduled health appointments or referral sites.Related occupations, Advocate for individual or community health needs with government agencies or health service providers.Related occupations, Report incidences of child or elder abuse, neglect, or threats of harm to authorities, as required.Related occupations, Teach classes or otherwise disseminate medical or dental health information to school groups, community groups, or targeted families or individuals, in a manner consistent with cultural norms.Related occupations, Advise clients or community groups on issues related to sanitation or hygiene, such as flossing or hand washing.Related occupations, Collect information from individuals to compile vital statistics about the general health of community members.Related occupations, Assist families to apply for social services, including Medicaid or Women, Infants, and Children (WIC).Related occupations, Advise clients or community groups on issues related to social or intellectual development, such as education, childcare, or problem solving.Related occupations, Provide basic health services, such as first aid.Related occupations, Interpret, translate, or provide cultural mediation related to health services or information for community members.Related occupations, Monitor nutrition of children, elderly, or other high-risk groups.Related occupations, Advise clients or community groups to ensure parental understanding of the importance of childhood immunizations and how to access immunization services.Related occupations, Develop plans or formal contracts for individuals, families, or community groups to improve overall health.Related occupations, Provide feedback to health service providers regarding improving service accessibility or acceptability.Related occupations","Provide basic health care services.Related occupations, Maintain client records.Related occupations, Advise clients or community groups on health issues.Related occupations, Assess individual or community needs for educational or social services.Related occupations, Visit individuals in their homes to provide support or information.Related occupations, Transport clients to appointments.Related occupations, Provide educational materials to community members.Related occupations, Confer with clients to discuss treatment plans or progress.Related occupations, Monitor clients to evaluate treatment progress.Related occupations, Refer clients to community or social service programs.Related occupations, Advocate for individual or community needs.Related occupations, Recommend legal actions.Related occupations, Collect information about community health needs.Related occupations, Lead classes or community events.Related occupations, Advise others on social or educational issues.Related occupations, Help clients get needed services or resources.Related occupations, Develop working relationships with others to facilitate program activities.Related occupations, Interpret cultural or religious information for others.Related occupations, Monitor nutrition related activities of individuals or groups.Related occupations, Plan programs to address community health issues.Related occupations",4
Health Care and Social Assistance,46%,29-9091.00,Athletic Trainers,Much faster than average,"2,700","Calendar and scheduling software, Data base user interface and query software, Electronic mail software, Internet browser software, Medical software, Office suite software, Presentation software, Spreadsheet software, Word processing software","Conduct an initial assessment of an athlete's injury or illness to provide emergency or continued care and to determine whether they should be referred to physicians for definitive diagnosis and treatment.Related occupations, Assess and report the progress of recovering athletes to coaches or physicians.Related occupations, Care for athletic injuries, using physical therapy equipment, techniques, or medication.Related occupations, Evaluate athletes' readiness to play and provide participation clearances when necessary and warranted.Related occupations, Perform general administrative tasks, such as keeping records or writing reports.Related occupations, Clean and sanitize athletic training rooms.Related occupations, Instruct coaches, athletes, parents, medical personnel, or community members in the care and prevention of athletic injuries.Related occupations, Apply protective or injury preventive devices, such as tape, bandages, or braces, to body parts, such as ankles, fingers, or wrists.Related occupations, Collaborate with physicians to develop and implement comprehensive rehabilitation programs for athletic injuries.Related occupations, Travel with athletic teams to be available at sporting events.Related occupations, Plan or implement comprehensive athletic injury or illness prevention programs.Related occupations, Inspect playing fields to locate any items that could injure players.Related occupations, Advise athletes on the proper use of equipment.Related occupations, Confer with coaches to select protective equipment.Related occupations, Develop training programs or routines designed to improve athletic performance.Related occupations, Massage body parts to relieve soreness, strains, or bruises.Related occupations, Accompany injured athletes to hospitals.Related occupations, Lead stretching exercises for team members prior to games or practices.Related occupations, Conduct research or provide instruction on subject matter related to athletic training or sports medicine.Related occupations, Recommend special diets to improve athletes' health, increase their stamina, or alter their weight.Related occupations, File athlete insurance claims and communicate with insurance providers.Related occupations, Teach sports medicine courses to athletic training students.Related occupations, Perform team support duties, such as running errands, maintaining equipment, or stocking supplies.Related occupations","Analyze patient data to determine patient needs or treatment goals.Related occupations, Evaluate patient outcomes to determine effectiveness of treatments.Related occupations, Inform medical professionals regarding patient conditions and care.Related occupations, Operate diagnostic or therapeutic medical instruments or equipment.Related occupations, Treat patients using physical therapy techniques.Related occupations, Evaluate patient functioning, capabilities, or health.Related occupations, Maintain medical facility records.Related occupations, Perform clerical work in medical settings.Related occupations, Prepare reports summarizing patient diagnostic or care activities.Related occupations, Clean facilities or equipment.Related occupations, Maintain clean work areas.Related occupations, Advise athletes, coaches, or trainers on exercise regimens, nutrition, or equipment use.Related occupations, Develop exercise or conditioning programs.Related occupations, Apply bandages, dressings, or splints.Related occupations, Collaborate with healthcare professionals to plan or provide treatment.Related occupations, Inspect work environments to ensure safety.Related occupations, Process medical billing information.Related occupations, Consult with others regarding safe or healthy equipment or facilities.Related occupations, Treat patients using alternative medical procedures.Related occupations, Train medical providers.Related occupations, Conduct research to increase knowledge about medical issues.Related occupations, Maintain inventory of medical supplies or equipment.Related occupations, Maintain medical equipment or instruments.Related occupations",5
Health Care and Social Assistance,45%,43-4171.00,Receptionists and Information Clerks,Little or no change,"142,600","Accounting software, Calendar and scheduling software, Cloud-based data access and sharing software, Customer relationship management CRM software, Data base user interface and query software, Desktop publishing software, Document management software, Electronic mail software, Internet browser software, Medical software, Mobile messaging service software, Network conferencing software, Office suite software, Operating system software, Presentation software, Spreadsheet software, Time accounting software, Word processing software","Operate telephone switchboard to answer, screen, or forward calls, providing information, taking messages, or scheduling appointments.Related occupations, Greet persons entering establishment, determine nature and purpose of visit, and direct or escort them to specific destinations.Related occupations, Receive payment and record receipts for services.Related occupations, Schedule appointments and maintain and update appointment calendars.Related occupations, Transmit information or documents to customers, using computer, mail, or facsimile machine.Related occupations, Hear and resolve complaints from customers or the public.Related occupations, File and maintain records.Related occupations, Provide information about establishment, such as location of departments or offices, employees within the organization, or services provided.Related occupations, Perform administrative support tasks, such as proofreading, transcribing handwritten information, or operating calculators or computers to work with pay records, invoices, balance sheets, or other documents.Related occupations, Collect, sort, distribute, or prepare mail, messages, or courier deliveries.Related occupations, Perform duties, such as taking care of plants or straightening magazines to maintain lobby or reception area.Related occupations, Analyze data to determine answers to questions from customers or members of the public.Related occupations, Calculate and quote rates for tours, stocks, insurance policies, or other products or services.Related occupations, Keep a current record of staff members' whereabouts and availability.Related occupations, Schedule space or equipment for special programs and prepare lists of participants.Related occupations, Process and prepare memos, correspondence, travel vouchers, or other documents.Related occupations, Enroll individuals to participate in programs and notify them of their acceptance.Related occupations, Take orders for merchandise or materials and send them to the proper departments to be filled.Related occupations","Schedule appointments.Related occupations, Answer telephones to direct calls or provide information.Related occupations, Greet customers, patrons, or visitors.Related occupations, Collect deposits, payments or fees.Related occupations, Analyze operational or research data.Related occupations, Calculate costs of goods or services.Related occupations, Send information, materials or documentation.Related occupations, Respond to customer problems or complaints.Related occupations, File documents or records.Related occupations, Discuss goods or services information with customers or patrons.Related occupations, Operate computers or computerized equipment.Related occupations, Proofread documents, records, or other files to ensure accuracy.Related occupations, Distribute incoming mail.Related occupations, Sort mail.Related occupations, Record personnel information.Related occupations, Schedule operational activities.Related occupations, Prepare business correspondence.Related occupations, Clean facilities or equipment.Related occupations, Provide notifications to customers or patrons.Related occupations, Order materials, supplies, or equipment.Related occupations",2
Health Care and Social Assistance,45%,21-1091.00,Health Education Specialists,Faster than average,"6,600","Analytical or scientific software, Computer based training software, Customer relationship management CRM software, Data base user interface and query software, Desktop publishing software, Electronic mail software, Graphics or photo imaging software, Internet browser software, Medical software, Multi-media educational software, Network conferencing software, Office suite software, Presentation software, Process mapping and design software, Spreadsheet software, Web page creation and editing software, Word processing software","Prepare and distribute health education materials, such as reports, bulletins, and visual aids, to address smoking, vaccines, and other public health concerns.Related occupations, Develop and maintain cooperative working relationships with agencies and organizations interested in public health care.Related occupations, Maintain databases, mailing lists, telephone networks, and other information to facilitate the functioning of health education programs.Related occupations, Document activities and record information, such as the numbers of applications completed, presentations conducted, and persons assisted.Related occupations, Develop and present health education and promotion programs, such as training workshops, conferences, and school or community presentations.Related occupations, Collaborate with health specialists and civic groups to determine community health needs and the availability of services and to develop goals for meeting needs.Related occupations, Develop, conduct, or coordinate health needs assessments and other public health surveys.Related occupations, Supervise professional and technical staff in implementing health programs, objectives, and goals.Related occupations, Develop operational plans and policies necessary to achieve health education objectives and services.Related occupations, Provide program information to the public by preparing and presenting press releases, conducting media campaigns, or maintaining program-related Web sites.Related occupations, Develop and maintain health education libraries to provide resources for staff and community agencies.Related occupations, Design and conduct evaluations and diagnostic studies to assess the quality and performance of health education programs.Related occupations, Develop, prepare, and coordinate grant applications and grant-related activities to obtain funding for health education programs and related work.Related occupations, Provide guidance to agencies and organizations on assessment of health education needs and on development and delivery of health education programs.Related occupations, Design and administer training programs for new employees and continuing education for existing employees.Related occupations, Develop educational materials and programs for community agencies, local government, and state government.Related occupations","Provide educational materials to community members.Related occupations, Develop working relationships with others to facilitate program activities.Related occupations, Maintain social services program records.Related occupations, Plan programs to address community health issues.Related occupations, Present social services program information to the public.Related occupations, Develop tools to diagnose or assess needs.Related occupations, Assess individual or community needs for educational or social services.Related occupations, Collect information about community health needs.Related occupations, Supervise workers providing client or patient services.Related occupations, Develop educational policies.Related occupations, Evaluate the effectiveness of counseling or educational programs.Related occupations, Advise others on social or educational issues.Related occupations, Develop educational programs.Related occupations, Train staff members in social services skills.Related occupations",4
Health Care and Social Assistance,45%,43-2011.00,"Switchboard Operators, Including Answering Service",Decline,"2,900","Data base user interface and query software, Electronic mail software, Enterprise resource planning ERP software, Facilities management software, Office suite software, Operating system software, Presentation software, Spreadsheet software, Word processing software","Operate communication systems, such as telephone, switchboard, intercom, two-way radio, or public address.Related occupations, Answer incoming calls, greeting callers, providing information, transferring calls or taking messages as necessary.Related occupations, Greet visitors, log them in and out of the facility, assign them security badges, and contact employee escorts.Related occupations, Monitor emergency and code alarms, make emergency announcements, or route emergency calls to the appropriate location.Related occupations, Record messages, suggesting rewording for clarity or conciseness.Related occupations, Page individuals to inform them of telephone calls, using paging or interoffice communication equipment.Related occupations, Relay or route written or verbal messages.Related occupations, Perform various cash handling tasks, such as collecting payments, making bank deposits, or managing petty cash.Related occupations, Place telephone calls or arrange conference calls as instructed.Related occupations, Process incoming or outgoing mail, packages, or deliveries.Related occupations, Perform various data entry or word processing tasks, such as updating phone directories, typing or proofreading documents, or creating schedules.Related occupations, Perform administrative tasks, such as accepting orders, scheduling appointments or meeting rooms, or sending and receiving faxes.Related occupations, Monitor alarm systems to ensure that secure conditions are maintained.Related occupations, Contact security staff members when necessary, using radio-telephones.Related occupations, Complete forms for sales orders.Related occupations, Answer simple questions about clients' businesses, using reference files.Related occupations, Stamp messages with time and date and file them appropriately.Related occupations, Keep records of calls placed and charges incurred.Related occupations, Place orders, such as for equipment, supplies, or catering for meetings.Related occupations","Operate communications equipment or systems.Related occupations, Answer telephones to direct calls or provide information.Related occupations, Greet customers, patrons, or visitors.Related occupations, Refer customers to appropriate personnel.Related occupations, Monitor alarm systems.Related occupations, Maintain security.Related occupations, Operate audio recording equipment.Related occupations, Relay information between personnel.Related occupations, Prepare documentation for contracts, transactions, or regulatory compliance.Related occupations, Collect deposits, payments or fees.Related occupations, Prepare cash for deposit or disbursement.Related occupations, Answer customer questions about goods or services.Related occupations, File documents or records.Related occupations, Maintain call records.Related occupations, Proofread documents, records, or other files to ensure accuracy.Related occupations, Sort mail.Related occupations, Type documents.Related occupations, Execute sales or other financial transactions.Related occupations, Schedule appointments.Related occupations, Order materials, supplies, or equipment.Related occupations",2
Health Care and Social Assistance,43%,43-3021.00,Billing and Posting Clerks,Little or no change,"46,700","Access software, Accounting software, Business intelligence and data analysis software, Customer relationship management CRM software, Data base user interface and query software, Desktop publishing softwareRelated occupations, Document management software, Electronic mail software, Enterprise resource planning ERP software, Expert system software, Financial analysis software, Graphics or photo imaging software, Industrial control software, Internet browser software, Medical software, Office suite software, Operating system software, Optical character reader OCR or scanning software, Presentation software, Project management software, Spreadsheet software, Word processing software","Verify accuracy of billing data and revise any errors.Related occupations, Resolve discrepancies in accounting records.Related occupations, Prepare itemized statements, bills, or invoices and record amounts due for items purchased or services rendered.Related occupations, Operate typing, adding, calculating, or billing machines.Related occupations, Post stop-payment notices to prevent payment of protested checks.Related occupations, Verify signatures and required information on checks.Related occupations, Keep records of invoices and support documents.Related occupations, Perform bookkeeping work, including posting data or keeping other records concerning costs of goods or services or the shipment of goods.Related occupations, Contact customers to obtain or relay account information.Related occupations, Route statements for mailing or over-the-counter delivery to customers.Related occupations, Monitor equipment to ensure proper operation.Related occupations, Fix minor problems, such as equipment jams, and notify repair personnel of major equipment problems.Related occupations, Review documents, such as purchase orders, sales tickets, charge slips, or hospital records, to compute fees or charges due.Related occupations, Track accumulated hours and dollar amounts charged to each client job to calculate client fees for professional services, such as legal or accounting services.Related occupations, Weigh envelopes containing statements to determine correct postage and affix postage, using stamps or metering equipment.Related occupations, Consult sources, such as rate books, manuals, or insurance company representatives, to determine specific charges or information such as rules, regulations, or government tax and tariff information.Related occupations, Compare previously prepared bank statements with canceled checks and reconcile discrepancies.Related occupations, Take orders for imprinted checks.Related occupations, Encode and cancel checks, using bank machines.Related occupations, Load machines with statements, cancelled checks, or envelopes to prepare statements for distribution to customers or stuff envelopes by hand.Related occupations, Compute credit terms, discounts, shipment charges, or rates for goods or services to complete billing documents.Related occupations, Update manuals when rates, rules, or regulations are amended.Related occupations, Review compiled data on operating costs and revenues to set rates.Related occupations, Answer inquiries regarding rates, routing, or procedures.Related occupations, Compile reports of cost factors, such as labor, production, storage, and equipment.Related occupations, Create billing documents, shipping labels, credit memorandums, or credit forms.Related occupations, Perform general administrative tasks, such as answering telephones, scheduling appointments, and ordering supplies or equipment.Related occupations, Return checks to customers or retrieve checks returned to customers in error, adjusting accounts and answering inquiries about errors as necessary.Related occupations","Verify accuracy of financial or transactional data.Related occupations, Maintain financial or account records.Related occupations, Reconcile records of sales or other financial transactions.Related occupations, Prepare documentation for contracts, transactions, or regulatory compliance.Related occupations, Operate office equipment.Related occupations, Calculate costs of goods or services.Related occupations, Provide information to coworkers.Related occupations, Maintain operational records.Related occupations, Discuss account status or activity with customers or patrons.Related occupations, Weigh parcels to determine shipping costs.Related occupations, Search files, databases or reference materials to obtain needed information.Related occupations, Order materials, supplies, or equipment.Related occupations, Execute sales or other financial transactions.Related occupations, Calculate shipping costs.Related occupations, Prepare informational or reference materials.Related occupations, Route mail to correct destinations.Related occupations, Analyze financial information.Related occupations, Monitor equipment operation to ensure proper functioning.Related occupations, Maintain office equipment in proper operating condition.Related occupations, Report maintenance or equipment problems to appropriate personnel.Related occupations, Answer telephones to direct calls or provide information.Related occupations, Calculate financial data.Related occupations, Explain regulations, policies, or procedures.Related occupations, Prepare financial documents, reports, or budgets.Related occupations, Prepare financial documents.Related occupations, Respond to customer problems or complaints.Related occupations, Schedule appointments.Related occupations",3
Health Care and Social Assistance,38%,35-2012.00,"Cooks, Institution and Cafeteria",Average,"66,600","Analytical or scientific software, Data base user interface and query software, Point of sale POS software, Spreadsheet software, Word processing software","Monitor and record food temperatures to ensure food safety.Related occupations, Cook foodstuffs according to menus, special dietary or nutritional restrictions, or numbers of portions to be served.Related occupations, Rotate and store food supplies.Related occupations, Wash pots, pans, dishes, utensils, or other cooking equipment.Related occupations, Apportion and serve food to facility residents, employees, or patrons.Related occupations, Clean and inspect galley equipment, kitchen appliances, and work areas to ensure cleanliness and functional operation.Related occupations, Clean, cut, and cook meat, fish, or poultry.Related occupations, Direct activities of one or more workers who assist in preparing and serving meals.Related occupations, Train new employees.Related occupations, Take inventory of supplies and equipment.Related occupations, Requisition food supplies, kitchen equipment, and appliances, based on estimates of future needs.Related occupations, Bake breads, rolls, or other pastries.Related occupations, Monitor use of government food commodities to ensure that proper procedures are followed.Related occupations, Plan menus that are varied, nutritionally balanced, and appetizing, taking advantage of foods in season and local availability.Related occupations, Monitor menus and spending to ensure that meals are prepared economically.Related occupations, Compile and maintain records of food use and expenditures.Related occupations, Determine meal prices, based on calculations of ingredient prices.Related occupations","Monitor food services operations to ensure procedures are followed.Related occupations, Inspect facilities, equipment or supplies to ensure conformance to standards.Related occupations, Record operational or production data.Related occupations, Cook foods.Related occupations, Maintain food, beverage, or equipment inventories.Related occupations, Clean tableware.Related occupations, Move equipment, supplies or food to required locations.Related occupations, Store supplies or goods in kitchens or storage areas.Related occupations, Clean food preparation areas, facilities, or equipment.Related occupations, Cut cooked or raw foods.Related occupations, Prepare foods for cooking or serving.Related occupations, Serve food or beverages.Related occupations, Coordinate activities of food service staff.Related occupations, Plan menu options.Related occupations, Train food preparation or food service personnel.Related occupations, Order materials, supplies, or equipment.Related occupations, Prepare breads or doughs.Related occupations, Determine prices for menu items.Related occupations",2
Health Care and Social Assistance,38%,21-1021.00,"Child, Family, and School Social Workers",Faster than average,"29,500","Computer based training software, Data base user interface and query software, Electronic mail software, Internet browser software, Medical software, Office suite software, Presentation software, Spreadsheet software, Word processing software","Maintain case history records and prepare reports.Related occupations, Interview clients individually, in families, or in groups, assessing their situations, capabilities, and problems to determine what services are required to meet their needs.Related occupations, Serve as liaisons between students, homes, schools, family services, child guidance clinics, courts, protective services, doctors, and other contacts to help children who face problems, such as disabilities, abuse, or poverty.Related occupations, Develop and review service plans in consultation with clients and perform follow-ups assessing the quantity and quality of services provided.Related occupations, Address legal issues, such as child abuse and discipline, assisting with hearings and providing testimony to inform custody arrangements.Related occupations, Counsel parents with child rearing problems, interviewing the child and family to determine whether further action is required.Related occupations, Consult with parents, teachers, and other school personnel to determine causes of problems, such as truancy and misbehavior, and to implement solutions.Related occupations, Arrange for medical, psychiatric, and other tests that may disclose causes of difficulties and indicate remedial measures.Related occupations, Refer clients to community resources for services, such as job placement, debt counseling, legal aid, housing, medical treatment, or financial assistance, and provide concrete information, such as where to go and how to apply.Related occupations, Counsel individuals, groups, families, or communities regarding issues including mental health, poverty, unemployment, substance abuse, physical abuse, rehabilitation, social adjustment, child care, or medical care.Related occupations, Provide, find, or arrange for support services, such as child care, homemaker service, prenatal care, substance abuse treatment, job training, counseling, or parenting classes to prevent more serious problems from developing.Related occupations, Collect supplementary information needed to assist client, such as employment records, medical records, or school reports.Related occupations, Place children in foster or adoptive homes, institutions, or medical treatment centers.Related occupations, Recommend temporary foster care and advise foster or adoptive parents.Related occupations, Counsel students whose behavior, school progress, or mental or physical impairment indicate a need for assistance, diagnosing students' problems and arranging for needed services.Related occupations, Evaluate personal characteristics and home conditions of foster home or adoption applicants.Related occupations, Conduct social research.Related occupations, Supervise other social workers.Related occupations, Lead group counseling sessions that provide support in such areas as grief, stress, or chemical dependency.Related occupations, Serve on policy-making committees, assist in community development, and assist client groups by lobbying for solutions to problems.Related occupations, Determine clients' eligibility for financial assistance.Related occupations","Maintain client records.Related occupations, Write reports or evaluations.Related occupations, Interview clients to gather information about their backgrounds, needs, or progress.Related occupations, Advocate for individual or community needs.Related occupations, Arrange physical or mental health services for clients.Related occupations, Counsel clients regarding educational or vocational issues.Related occupations, Confer with clients to discuss treatment plans or progress.Related occupations, Evaluate the effectiveness of counseling or educational programs.Related occupations, Counsel clients regarding interpersonal issues.Related occupations, Evaluate potential problems in home or work environments of clients.Related occupations, Evaluate characteristics of individuals to determine needs or eligibility.Related occupations, Collaborate with other professionals to assess client needs or plan treatments.Related occupations, Confer with family members to discuss client treatment plans or progress.Related occupations, Recommend legal actions.Related occupations, Conduct research on social issues.Related occupations, Counsel clients or patients with substance abuse issues.Related occupations, Help clients get needed services or resources.Related occupations, Advise clients or community groups on health issues.Related occupations, Collect information about clients.Related occupations, Refer clients to community or social service programs.Related occupations, Refer individuals to educational or work programs.Related occupations, Supervise workers providing client or patient services.Related occupations, Counsel clients or patients regarding personal issues.Related occupations, Collaborate with other professionals to develop education or assistance programs.Related occupations",4
Health Care and Social Assistance,38%,21-1019.00,"Counselors, All Other",Much faster than average,"8,000",,,,Unknown
Health Care and Social Assistance,38%,29-2091.00,Orthotists and Prosthetists,Much faster than average,800,"Accounting software, Computer aided design CAD software, Computer aided manufacturing CAM softwareRelated occupations, Data base user interface and query software, Electronic mail software, Graphics or photo imaging software, Internet browser software, Medical software, Presentation software, Spreadsheet software, Word processing software","Fit, test, and evaluate devices on patients, and make adjustments for proper fit, function, and comfort.Related occupations, Instruct patients in the use and care of orthoses and prostheses.Related occupations, Maintain patients' records.Related occupations, Examine, interview, and measure patients to determine their appliance needs and to identify factors that could affect appliance fit.Related occupations, Select materials and components to be used, based on device design.Related occupations, Design orthopedic and prosthetic devices, based on physicians' prescriptions and examination and measurement of patients.Related occupations, Repair, rebuild, and modify prosthetic and orthopedic appliances.Related occupations, Construct and fabricate appliances, or supervise others constructing the appliances.Related occupations, Make and modify plaster casts of areas to be fitted with prostheses or orthoses to guide the device construction process.Related occupations, Confer with physicians to formulate specifications and prescriptions for orthopedic or prosthetic devices.Related occupations, Show and explain orthopedic and prosthetic appliances to healthcare workers.Related occupations, Train and supervise support staff, such as orthopedic and prosthetic assistants and technicians.Related occupations, Update skills and knowledge by attending conferences and seminars.Related occupations, Research new ways to construct and use orthopedic and prosthetic devices.Related occupations, Publish research findings or present them at conferences and seminars.Related occupations","Adjust prostheses or other assistive devices.Related occupations, Instruct patients in the use of assistive equipment.Related occupations, Record patient medical histories.Related occupations, Collect medical information from patients, family members, or other medical professionals.Related occupations, Examine patients to assess general physical condition.Related occupations, Measure the physical or physiological attributes of patients.Related occupations, Fabricate medical devices.Related occupations, Design medical devices or appliances.Related occupations, Supervise medical support personnel.Related occupations, Collaborate with healthcare professionals to plan or provide treatment.Related occupations, Train medical providers.Related occupations, Maintain medical or professional knowledge.Related occupations, Conduct research to increase knowledge about medical issues.Related occupations, Present medical research reports.Related occupations",5
Health Care and Social Assistance,37%,43-2021.00,Telephone Operators,Decline,400,"Electronic mail software, Helpdesk or call center software, Office suite software, Operating system software, Presentation software, Spreadsheet software, Video conferencing software, Word processing software","Observe signal lights on switchboards, and dial or press buttons to make connections.Related occupations, Operate telephone switchboards and systems to advance and complete connections, including those for local, long distance, pay telephone, mobile, person-to-person, and emergency calls.Related occupations, Listen to customer requests, referring to alphabetical or geographical directories to answer questions and provide telephone information.Related occupations, Update directory information.Related occupations, Suggest and check alternate spellings, locations, or listing formats to customers lacking details or complete information.Related occupations, Perform clerical duties such as typing, proofreading, and sorting mail.Related occupations, Offer special assistance to persons such as those who are unable to dial or who are in emergency situations.Related occupations, Operate paging systems or other systems of bells or buzzers to notify recipients of incoming calls.Related occupations, Monitor automated systems for placing collect calls and intervene for a callers needing assistance.Related occupations, Interrupt busy lines if an emergency warrants.Related occupations, Provide assistance for customers with special billing requests.Related occupations, Provide relay service for users who are deaf or hard of hearing.Related occupations, Keep records of calls placed and received, and of related toll charges.Related occupations, Promote company products, services, and savings plans when appropriate.Related occupations","Operate communications equipment or systems.Related occupations, Answer telephones to direct calls or provide information.Related occupations, Search files, databases or reference materials to obtain needed information.Related occupations, Assist individuals with paperwork.Related occupations, Enter information into databases or software programs.Related occupations, Proofread documents, records, or other files to ensure accuracy.Related occupations, Sort mail.Related occupations, Assist disabled or incapacitated individuals.Related occupations, Discuss account status or activity with customers or patrons.Related occupations, Maintain call records.Related occupations, Promote products, services, or programs.Related occupations",2
Health Care and Social Assistance,35%,29-1128.00,Exercise Physiologists,Much faster than average,"1,200","Electronic mail software, Internet browser software, Medical software, Office suite software, Presentation software, Spreadsheet software, Word processing software","Develop exercise programs to improve participant strength, flexibility, endurance, or circulatory functioning, in accordance with exercise science standards, regulatory requirements, and credentialing requirements.Related occupations, Provide emergency or other appropriate medical care to participants with symptoms or signs of physical distress.Related occupations, Demonstrate correct use of exercise equipment or performance of exercise routines.Related occupations, Recommend methods to increase lifestyle physical activity.Related occupations, Interpret exercise program participant data to evaluate progress or identify needed program changes.Related occupations, Prescribe individualized exercise programs, specifying equipment, such as treadmill, exercise bicycle, ergometers, or perceptual goggles.Related occupations, Provide clinical oversight of exercise for participants at all risk levels.Related occupations, Explain exercise program or physiological testing procedures to participants.Related occupations, Interview participants to obtain medical history or assess participant goals.Related occupations, Assess physical performance requirements to aid in the development of individualized recovery or rehabilitation exercise programs.Related occupations, Teach behavior modification classes related to topics such as stress management or weight control.Related occupations, Conduct stress tests, using electrocardiograph (EKG) machines.Related occupations, Measure oxygen consumption or lung functioning, using spirometers.Related occupations, Educate athletes or coaches on techniques to improve athletic performance, such as heart rate monitoring, recovery techniques, hydration strategies, or training limits.Related occupations, Evaluate staff performance in leading group exercise or conducting diagnostic tests.Related occupations, Teach group exercise for low-, medium-, or high-risk clients to improve participant strength, flexibility, endurance, or circulatory functioning.Related occupations, Calibrate exercise or testing equipment.Related occupations, Teach courses or seminars related to exercise or diet for patients, athletes, or community groups.Related occupations, Mentor or train staff to lead group exercise.Related occupations, Measure amount of body fat, using such equipment as hydrostatic scale, skinfold calipers, or tape measures.Related occupations, Perform routine laboratory tests of blood samples for cholesterol level or glucose tolerance.Related occupations, Supervise maintenance of exercise or exercise testing equipment.Related occupations, Present exercise knowledge, program information, or research study findings at professional meetings or conferences.Related occupations, Order or recommend diagnostic procedures, such as stress tests, drug screenings, or urinary tests.Related occupations, Plan or conduct exercise physiology research projects.Related occupations","Develop exercise or conditioning programs.Related occupations, Treat medical emergencies.Related occupations, Demonstrate activity techniques or equipment use.Related occupations, Teach exercise or fitness techniques.Related occupations, Provide health and wellness advice to patients, program participants, or caregivers.Related occupations, Analyze quantitative data to determine effectiveness of treatments or therapies.Related occupations, Prescribe treatments or therapies.Related occupations, Monitor patient conditions during treatments, procedures, or activities.Related occupations, Explain medical procedures or test results to patients or family members.Related occupations, Collect medical information from patients, family members, or other medical professionals.Related occupations, Evaluate patient functioning, capabilities, or health.Related occupations, Teach health management classes.Related occupations, Operate diagnostic or therapeutic medical instruments or equipment.Related occupations, Test patient heart or lung functioning.Related occupations, Advise athletes, coaches, or trainers on exercise regimens, nutrition, or equipment use.Related occupations, Evaluate employee performance.Related occupations, Maintain medical equipment or instruments.Related occupations, Train patients, family members, or caregivers in techniques for managing disabilities or illnesses.Related occupations, Measure the physical or physiological attributes of patients.Related occupations, Train caregivers or other non-medical personnel.Related occupations, Test biological specimens to gather information about patient conditions.Related occupations, Communicate health and wellness information to the public.Related occupations, Present medical research reports.Related occupations, Order medical diagnostic or clinical tests.Related occupations, Conduct research to increase knowledge about medical issues.Related occupations",4
